12,14,16,
1,15,18,
12,14,16,
2,8,15,28
15,36,,
10,11,25,40
1,42,49,
9,21,22,35
6,10,12,14
12,14,16,26
7,24,35,41
28,43,,
11,12,14,16
12,21,32,
12,14,16,
12,34,,
5,17,27,35
1,27,49,
12,14,16,44
1,29,47,49
9,22,42,
3,10,12,14
15,36,,
35,47,,
12,14,16,
5,10,22,28
5,18,46,
6,9,22,
3,9,22,27
12,14,16,
1,49,,
15,36,,
2,12,13,14
1,17,49,
0,9,22,42
12,14,16,
9,22,,
6,24,48,
12,14,16,35
26,,,
7,9,15,25
1,49,,
6,9,22,26
11,12,14,16
12,14,16,
9,21,22,
1,12,14,16
8,15,22,35
12,14,16,
9,22,31,38
12,14,16,
15,36,46,
15,36,,
9,22,,
12,14,16,
8,15,36,43
12,14,16,
9,22,39,
3,26,49,
7,35,43,
9,22,,
0,9,12,14
26,27,,
9,22,31,49
12,14,16,
12,14,16,
9,22,,
12,14,16,
1,2,15,31
1,7,49,
12,14,16,
15,,,
1,5,15,49
15,26,36,
12,14,16,21
1,49,,
12,14,16,
9,22,27,
1,10,12,30
13,15,36,
12,14,16,
9,13,27,35
34,,,
12,21,24,33
12,14,16,
4,,,
4,27,28,
6,16,18,23
1,49,,
15,19,36,49
15,36,49,
12,14,16,19
9,15,22,49
12,14,16,
15,20,24,35
15,,,
14,,,
1,9,49,
15,36,,
12,14,23,26
37,41,,
9,22,31,
0,1,49,
12,14,,
14,26,40,
1,3,25,35
2,4,8,12
15,36,,
1,30,40,48
10,17,,
9,16,25,
9,30,,
15,17,36,47
9,11,22,
7,9,16,22
9,22,31,
2,9,43,44
12,14,16,
21,22,29,35
9,22,26,28
9,22,,
8,11,15,33
1,7,49,
12,14,16,39
9,22,,
12,14,16,18
12,14,16,23
8,9,20,22
22,28,33,43
15,16,20,36
9,14,22,
9,22,31,
12,14,16,
15,,,
12,14,16,
9,12,13,18
1,26,27,49
12,14,16,
11,18,25,48
23,41,43,49
9,13,15,40
5,39,,
0,15,17,22
15,36,,
7,12,14,16
1,40,49,
12,14,16,17
1,30,49,
5,15,21,32
12,14,16,
0,3,25,
7,9,22,37
1,36,49,
15,36,,
21,,,
9,14,22,24
2,12,14,16
9,22,36,40
11,15,36,43
13,14,23,40
1,4,5,19
15,36,,
6,8,15,26
9,22,41,
7,15,36,
12,14,16,
8,9,22,
34,35,,
1,18,34,49
12,14,16,
10,36,41,43
41,,,
15,36,,
8,26,33,49
9,22,,
3,13,36,
7,22,24,27
9,22,,
12,14,,
6,27,,
1,21,,
1,7,19,49
9,17,22,25
12,14,16,23
17,38,,
15,30,36,38
5,11,26,27
30,32,33,44
4,7,8,30
1,49,,
9,22,37,49
6,16,18,
1,2,5,11
12,14,16,
2,17,22,30
2,9,42,
14,,,
15,36,38,41
12,14,16,
24,39,46,
12,14,16,
1,37,49,
15,36,,
9,22,,
5,15,36,
12,14,16,
9,22,,
12,14,16,
9,22,25,46
9,24,35,
12,14,16,25
12,15,36,
7,21,36,44
0,12,14,16
18,25,,
12,14,15,16
12,14,16,
9,12,14,16
9,22,38,
12,14,16,
9,22,,
2,20,36,
15,36,,
9,22,34,39
12,14,16,
8,12,13,14
9,22,,
9,10,22,
8,12,14,16
6,9,11,44
4,12,14,16
17,26,42,44
1,49,,
9,22,33,
1,31,36,45
9,22,,
2,5,7,11
2,47,,
1,49,,
4,9,15,22
12,14,16,
9,22,37,39
12,14,16,
12,14,16,20
8,9,22,34
9,22,,
0,2,3,12
1,20,28,32
12,14,16,18
12,14,16,
2,9,11,22
1,4,9,37
15,36,,
9,22,49,
1,49,,
15,36,,
12,14,16,
9,22,,
12,14,16,
3,18,45,
15,18,26,34
22,36,44,
11,12,14,16
15,28,34,36
9,22,,
12,14,16,
15,30,36,43
9,22,,
12,14,16,
18,21,24,41
14,22,23,31
1,15,36,48
9,12,22,
12,14,16,28
21,,,
1,34,37,
4,13,30,33
15,36,,
9,22,,
6,33,38,46
12,14,16,
2,12,41,44
12,14,22,32
1,49,,
6,15,36,
9,22,,
12,14,16,
1,2,3,4
12,14,16,17
31,,,
16,37,40,43
9,22,,
1,17,21,24
1,3,25,37
9,22,,
15,31,33,36
7,9,15,22
0,24,45,
12,14,16,
12,14,16,
8,12,16,36
28,29,35,
11,47,,
12,14,16,
12,14,16,
12,14,,
12,14,16,
1,9,32,38
12,14,16,
12,14,16,48
21,26,32,
15,36,,
9,18,21,22
4,12,14,16
16,19,25,40
0,,,
1,15,26,37
23,32,44,48
11,23,28,33
12,14,16,
12,14,16,
1,10,14,15
9,16,22,27
10,11,12,14
9,22,32,
0,12,14,16
15,31,36,
12,14,16,26
34,,,
1,13,,
12,14,16,
1,13,23,26
12,26,36,
2,9,22,42
12,14,16,
15,36,41,
9,22,31,
9,22,33,
34,47,,
15,23,36,
17,18,28,41
1,48,49,
15,36,48,
12,14,16,44
15,36,,
3,9,22,
0,12,14,15
9,22,,
5,11,18,31
12,14,16,
5,12,15,22
8,12,,
8,20,28,
15,36,,
12,14,,
1,2,20,22
1,7,23,49
12,14,16,
12,23,,
18,19,20,27
9,22,,
9,18,21,38
24,,,
21,24,49,
1,49,,
6,9,13,16
1,42,43,45
12,14,16,41
12,14,16,
1,5,22,27
12,14,16,25
12,14,16,
1,49,,
3,15,22,36
12,14,16,
15,36,48,
15,36,44,
12,14,15,16
15,36,42,
12,14,16,26
0,17,36,
15,36,47,
12,14,16,31
9,22,38,40
12,14,16,40
15,36,40,
1,49,,
31,44,,
9,22,28,42
9,22,29,44
13,34,35,
12,14,16,
0,7,20,32
2,12,14,16
5,6,12,14
1,32,49,
12,14,16,
2,8,28,
8,9,13,
40,48,,
9,22,,
1,16,36,46
19,21,35,
15,37,48,
1,49,,
1,28,34,49
12,14,16,
9,13,22,24
12,14,16,32
23,37,39,
12,14,16,
6,9,15,39
1,49,,
15,23,36,47
9,20,22,26
8,9,22,
3,11,38,
15,17,24,33
15,36,41,43
12,14,16,
44,,,
15,36,,
9,22,,
31,33,49,
9,22,,
27,,,
9,16,49,
9,22,,
12,14,16,
1,7,27,49
12,14,16,
1,10,31,32
15,36,,
1,41,49,
4,6,8,15
12,14,16,
6,10,37,
9,22,23,29
12,14,16,27
12,18,25,
1,11,43,49
12,14,16,22
12,14,16,
1,7,42,
17,21,29,33
15,36,,
6,9,12,14
12,14,16,
1,9,44,49
9,22,33,
2,5,11,40
1,29,49,
9,22,,
9,12,14,16
14,30,,
3,9,22,
12,14,16,
9,20,22,
2,7,11,15
3,5,43,
15,36,,
17,28,37,43
2,9,22,39
15,17,36,39
22,36,,
9,22,,
9,22,41,
12,14,16,31
1,49,,
12,14,16,
1,11,31,46
12,14,16,
8,18,19,20
25,33,38,
0,3,40,45
20,22,,
1,37,49,
15,30,36,
9,22,25,
5,9,18,22
12,14,16,33
1,6,30,38
12,14,16,
33,34,,
1,2,11,49
9,12,14,16
14,21,31,32
5,43,47,
2,12,14,16
20,29,38,41
9,20,22,
0,,,
28,,,
12,13,14,16
12,14,16,
8,15,16,19
4,7,15,36
2,11,27,37
1,6,13,17
9,22,41,
12,14,16,
7,8,17,21
12,14,16,30
26,42,,
9,12,22,
5,20,34,45
22,23,26,30
12,14,16,
1,14,22,41
9,22,25,41
12,14,16,
9,22,,
12,14,16,24
11,35,43,48
9,15,36,
1,16,49,
1,16,41,49
1,15,36,
1,49,,
12,14,16,41
12,14,16,31
7,9,18,33
0,14,17,27
1,30,39,49
2,9,22,38
12,14,16,
4,9,18,21
3,15,36,46
9,22,34,
9,22,,
12,14,16,
12,14,16,
29,33,45,
1,49,,
15,36,,
12,14,16,41
8,17,34,46
2,9,22,
12,14,16,
7,15,35,36
6,9,12,22
12,14,16,
1,49,,
8,15,30,36
9,11,22,44
4,31,,
12,14,16,
2,35,,
9,23,28,
7,10,40,
1,49,,
9,22,,
12,14,16,43
8,15,36,41
9,26,,
12,14,16,
10,19,45,
11,21,23,28
14,32,36,
15,36,46,
21,23,32,
15,36,,
11,15,,
8,10,15,36
12,14,16,
11,48,49,
3,40,,
20,31,,
1,49,,
15,36,,
9,22,49,
1,20,30,34
15,36,,
7,,,
9,16,22,
1,49,,
11,15,29,36
9,13,22,
12,14,16,
9,22,,
13,34,,
7,9,19,22
12,14,16,
10,12,14,16
1,5,49,
9,12,22,
1,7,35,40
29,,,
9,,,
0,6,29,49
4,8,,
9,12,21,27
8,9,22,27
18,24,41,
15,23,39,
23,30,42,44
12,14,16,
1,7,37,45
4,46,49,
1,49,,
7,32,,
8,9,39,
14,15,36,42
6,9,22,34
12,14,16,
12,23,,
1,12,14,16
24,29,41,
0,5,17,24
1,10,49,
15,21,36,38
12,14,16,
6,12,14,16
22,30,35,41
12,14,16,
0,8,16,27
9,22,28,49
21,23,,
1,49,,
49,,,
3,16,24,28
12,14,16,24
2,7,29,34
15,36,,
9,22,,
1,10,12,33
1,13,15,19
3,48,,
9,28,45,
12,14,16,
0,12,14,16
11,41,43,
8,28,40,43
5,15,36,
11,24,32,
4,15,26,36
27,33,35,
9,22,31,32
15,36,,
36,43,,
1,12,13,18
4,13,,
4,31,41,
1,14,32,49
1,31,49,
2,22,25,26
1,49,,
7,15,35,36
12,14,16,24
9,22,,
20,24,,
12,14,16,
17,20,35,44
5,11,27,31
1,10,13,16
11,15,36,
1,30,49,
8,12,14,16
36,46,,
15,36,49,
12,14,16,
1,28,43,49
9,19,22,
7,15,,
12,14,16,30
12,14,16,
9,11,31,47
12,14,16,
9,22,,
12,14,16,
1,21,22,24
15,36,,
12,14,16,
12,14,16,
7,8,,
15,41,,
15,23,26,36
12,13,14,16
39,,,
13,29,,
0,3,22,
2,12,15,36
12,14,16,
21,37,47,
9,22,,
12,14,16,
1,9,49,
9,22,24,26
12,14,16,
1,3,16,49
12,14,16,
15,36,,
42,,,
1,12,18,35
9,10,16,22
1,13,49,
26,29,49,
12,14,16,
1,45,,
12,14,16,41
1,26,49,
21,25,27,
26,,,
1,10,33,49
12,14,16,37
10,21,38,48
6,12,15,36
9,18,22,25
12,14,16,
9,22,33,38
10,12,14,16
15,36,,
1,4,9,22
7,27,40,48
3,18,22,
9,10,48,
2,14,28,38
1,12,13,15
9,11,22,45
12,14,15,16
1,8,49,
3,9,17,21
9,22,30,
9,22,,
12,14,16,
1,13,44,49
9,22,26,29
12,14,16,22
15,36,,
12,14,16,
12,14,16,
9,12,15,22
31,36,42,
9,22,33,42
9,22,32,
12,14,16,
12,14,16,
9,24,33,35
9,11,15,22
15,36,,
9,22,,
5,12,14,24
9,22,26,
15,36,44,
9,22,29,35
12,14,16,
6,15,28,36
12,14,16,
27,33,34,46
20,,,
12,14,16,
3,5,9,18
8,12,14,16
4,9,20,22
0,23,45,46
1,21,35,49
9,22,,
2,6,15,29
5,15,18,23
1,49,,
9,43,,
9,13,22,42
1,49,,
1,9,10,17
0,14,32,
15,23,36,
6,9,22,
10,25,49,
12,14,16,24
28,32,38,
12,14,16,
12,14,16,
12,14,16,
15,20,33,
11,15,36,
9,22,36,48
5,12,14,16
1,3,49,
9,12,21,22
0,42,,
24,27,30,
0,41,,
9,22,,
1,12,14,16
15,36,40,43
10,11,20,26
15,36,39,
23,32,33,37
9,14,15,36
9,22,48,
12,14,16,
12,14,16,
15,24,29,43
10,28,30,
7,18,48,
1,4,32,49
12,14,16,46
1,3,7,9
12,14,16,37
9,22,,
11,12,14,16
14,15,16,41
12,14,16,18
9,22,,
12,14,16,
10,13,30,40
9,22,26,34
15,36,,
8,31,,
15,36,37,43
1,2,29,37
12,14,16,
15,34,36,
10,12,14,16
1,26,49,
17,20,21,33
7,15,,
27,33,39,
1,49,,
15,36,,
9,14,17,18
12,14,16,
0,1,49,
11,12,14,16
1,20,49,
15,36,47,
5,6,,
8,15,21,27
12,14,16,
7,11,14,20
9,22,,
1,2,40,49
10,28,,
2,9,22,33
12,14,16,
29,34,47,
1,49,,
9,22,,
12,14,16,
1,49,,
15,28,33,36
5,38,43,
1,17,49,
12,14,16,
1,49,,
