"����","γ��","ҵ��ʱ��","��Ƭ��¼����","��·����","��γ��","�ϳ�վ��","ʵ��վ��"
114.062965,22.537166,2014-06-09 10:41:00,326344126,"68·","114.062965,22.537166",21,15
114.039268,22.641252,2014-06-09 13:19:00,329536584,"68·","114.039268,22.641252",2,31
114.035667,22.620891,2014-06-09 13:34:00,328892128,"68·","114.035667,22.620891",10,30
114.040321,22.605056,2014-06-09 13:42:00,329718733,"68·","114.040321,22.605056",32,26
114.045425,22.596542,2014-06-09 13:45:00,20680990,"68·","114.045425,22.596542",33,24
114.062866,22.528667,2014-06-09 14:11:00,321857675,"68·","114.062866,22.528667",25,14
114.063034,22.537067,2014-06-09 16:36:00,23152808,"68·","114.063034,22.537067",21,15
114.075798,22.542417,2014-06-09 16:40:00,293087189,"68·","114.075798,22.542417",9,17
114.062088,22.640775,2014-06-09 17:55:00,251294297,"68·","114.062088,22.640775",11,34
114.062927,22.525543,2014-06-09 14:19:00,20446245,"68·","114.062927,22.525543",25,14
113.944999,22.537633,2014-06-09 09:03:00,329664965,"68·","113.944999,22.537633",29,4
114.076049,22.544649,2014-06-09 14:59:00,322596445,"68·","114.076049,22.544649",9,17
113.941047,22.539363,2014-06-09 09:50:00,285070694,"68·","113.941047,22.539363",6,3
114.066528,22.659683,2014-06-09 13:38:00,50640963,"68·","114.066528,22.659683",1,37
114.065605,22.658601,2014-06-09 13:38:00,327414943,"68·","114.065605,22.658601",1,37
113.94075,22.540433,2014-06-09 15:09:00,20520301,"68·","113.94075,22.540433",6,3
114.042984,22.5205,2014-06-09 17:00:00,50511136,"68·","114.042984,22.5205",8,12
114.03823,22.615383,2014-06-09 17:38:00,360103036,"68·","114.03823,22.615383",10,30
114.043601,22.520343,2014-06-09 09:48:00,325069792,"68·","114.043601,22.520343",8,12
114.062942,22.524595,2014-06-09 13:57:00,151053857,"68·","114.062942,22.524595",25,14
113.940383,22.549133,2014-06-09 15:36:00,294585052,"68·","113.940383,22.549133",6,3
114.063201,22.537433,2014-06-09 16:20:00,323866824,"68·","114.063201,22.537433",21,15
114.041534,22.639923,2014-06-09 11:17:00,327233315,"68·","114.041534,22.639923",2,31
114.062889,22.527275,2014-06-09 12:04:00,251329050,"68·","114.062889,22.527275",25,14
114.041366,22.64005,2014-06-09 14:40:00,360942013,"68·","114.041366,22.64005",2,31
114.040603,22.609966,2014-06-09 16:40:00,321931200,"68·","114.040603,22.609966",19,28
114.04988,22.637783,2014-06-09 11:43:00,361338773,"68·","114.04988,22.637783",35,32
114.031684,22.636932,2014-06-09 11:53:00,328724907,"68·","114.031684,22.636932",2,31
113.947914,22.530099,2014-06-09 14:04:00,660539149,"68·","113.947914,22.530099",3,5
114.06253,22.563467,2014-06-09 14:52:00,293918716,"68·","114.06253,22.563467",31,21
114.076217,22.544567,2014-06-09 17:37:00,328689735,"68·","114.076217,22.544567",9,17
114.0317,22.637233,2014-06-09 14:21:00,290189851,"68·","114.0317,22.637233",2,31
114.072013,22.540433,2014-06-09 17:34:00,251277264,"68·","114.072013,22.540433",36,16
114.069633,22.551116,2014-06-09 17:52:00,330637683,"68·","114.069633,22.551116",37,19
113.940444,22.548536,2014-06-09 15:21:00,329226392,"68·","113.940444,22.548536",6,3
114.062576,22.563283,2014-06-09 16:13:00,361216540,"68·","114.062576,22.563283",31,21
114.052314,22.636955,2014-06-09 13:09:00,293395711,"68·","114.052314,22.636955",12,33
114.034782,22.525102,2014-06-09 14:13:00,293172406,"68·","114.034782,22.525102",5,11
114.045516,22.598783,2014-06-09 16:57:00,23098193,"68·","114.045516,22.598783",24,25
114.036598,22.618682,2014-06-09 17:04:00,325977656,"68·","114.036598,22.618682",10,30
114.071411,22.543167,2014-06-09 13:17:00,360066870,"68·","114.071411,22.543167",9,17
114.073486,22.5429,2014-06-09 15:28:00,330709302,"68·","114.073486,22.5429",9,17
114.052284,22.636983,2014-06-09 17:41:00,361557311,"68·","114.052284,22.636983",12,33
114.042266,22.639616,2014-06-09 17:45:00,327285416,"68·","114.042266,22.639616",2,31
114.038803,22.522867,2014-06-09 09:37:00,294358707,"68·","114.038803,22.522867",5,11
114.034988,22.623424,2014-06-09 10:14:00,280857339,"68·","114.034988,22.623424",10,30
114.031745,22.636751,2014-06-09 12:08:00,20620267,"68·","114.031745,22.636751",2,31
113.94075,22.540233,2014-06-09 13:18:00,329574734,"68·","113.94075,22.540233",6,3
113.944648,22.539283,2014-06-09 14:14:00,292499134,"68·","113.944648,22.539283",29,4
114.03347,22.627567,2014-06-09 15:23:00,361217898,"68·","114.03347,22.627567",10,30
114.042968,22.639139,2014-06-09 10:14:00,330700173,"68·","114.042968,22.639139",2,31
114.035018,22.642612,2014-06-09 11:38:00,327090862,"68·","114.035018,22.642612",2,31
114.071662,22.551036,2014-06-09 12:09:00,23606623,"68·","114.071662,22.551036",15,18
114.023834,22.531482,2014-06-09 13:48:00,293840335,"68·","114.023834,22.531482",26,9
114.048095,22.518508,2014-06-09 13:54:00,323413745,"68·","114.048095,22.518508",8,12
114.035079,22.524999,2014-06-09 17:42:00,20084360,"68·","114.035079,22.524999",5,11
114.062683,22.539316,2014-06-09 09:00:00,323411594,"68·","114.062683,22.539316",0,37
113.944969,22.538784,2014-06-09 09:42:00,326516734,"68·","113.944969,22.538784",29,4
114.033004,22.629146,2014-06-09 10:39:00,80326617,"68·","114.033004,22.629146",10,30
114.030464,22.527215,2014-06-09 15:25:00,329326535,"68·","114.030464,22.527215",4,10
114.045234,22.598882,2014-06-09 16:06:00,321158553,"68·","114.045234,22.598882",24,25
114.040534,22.610633,2014-06-09 16:12:00,361079305,"68·","114.040534,22.610633",19,28
114.036399,22.618883,2014-06-09 16:15:00,292476391,"68·","114.036399,22.618883",10,30
114.03582,22.620532,2014-06-09 16:16:00,327381771,"68·","114.03582,22.620532",10,30
114.038383,22.523387,2014-06-09 12:24:00,320578934,"68·","114.038383,22.523387",5,11
114.036216,22.524496,2014-06-09 13:48:00,660535423,"68·","114.036216,22.524496",5,11
114.039268,22.522691,2014-06-09 13:51:00,326294672,"68·","114.039268,22.522691",5,11
114.0382,22.6154,2014-06-09 14:31:00,327242510,"68·","114.0382,22.6154",10,30
114.035469,22.621799,2014-06-09 14:34:00,329577142,"68·","114.035469,22.621799",10,30
114.052421,22.636915,2014-06-09 16:15:00,321439113,"68·","114.052421,22.636915",12,33
114.062675,22.654796,2014-06-09 16:39:00,324736776,"68·","114.062675,22.654796",1,37
114.032333,22.629283,2014-06-09 17:11:00,320585303,"68·","114.032333,22.629283",10,30
114.062683,22.523134,2014-06-09 09:01:00,360105844,"68·","114.062683,22.523134",25,14
114.036567,22.524316,2014-06-09 09:11:00,20705996,"68·","114.036567,22.524316",5,11
114.032249,22.526683,2014-06-09 09:14:00,329855482,"68·","114.032249,22.526683",0,37
114.029609,22.528135,2014-06-09 09:16:00,330826570,"68·","114.029609,22.528135",4,10
113.944885,22.539234,2014-06-09 10:43:00,20597616,"68·","113.944885,22.539234",29,4
114.076202,22.546333,2014-06-09 11:20:00,293381751,"68·","114.076202,22.546333",9,17
114.061264,22.649084,2014-06-09 12:17:00,251132744,"68·","114.061264,22.649084",13,36
114.05986,22.520462,2014-06-09 14:35:00,326692929,"68·","114.05986,22.520462",25,14
114.045417,22.598917,2014-06-09 17:19:00,361111839,"68·","114.045417,22.598917",24,25
114.054214,22.636034,2014-06-09 17:49:00,320555240,"68·","114.054214,22.636034",12,33
113.945198,22.532922,2014-06-09 09:00:00,360806801,"68·","113.945198,22.532922",29,4
114.035797,22.620349,2014-06-09 10:08:00,325628227,"68·","114.035797,22.620349",10,30
114.058517,22.637933,2014-06-09 10:25:00,280620668,"68·","114.058517,22.637933",12,33
114.031745,22.637405,2014-06-09 12:16:00,361268005,"68·","114.031745,22.637405",2,31
114.032943,22.629035,2014-06-09 12:22:00,361223317,"68·","114.032943,22.629035",10,30
114.04985,22.63775,2014-06-09 17:10:00,180056520,"68·","114.04985,22.63775",35,32
114.066032,22.551099,2014-06-09 17:54:00,320272573,"68·","114.066032,22.551099",20,20
114.034629,22.624584,2014-06-09 11:01:00,322581438,"68·","114.034629,22.624584",10,30
114.035865,22.620183,2014-06-09 11:55:00,361036913,"68·","114.035865,22.620183",10,30
114.071952,22.654783,2014-06-09 13:20:00,251336600,"68·","114.071952,22.654783",28,39
114.06285,22.655321,2014-06-09 13:25:00,291092199,"68·","114.06285,22.655321",1,37
114.035285,22.642541,2014-06-09 13:40:00,330700784,"68·","114.035285,22.642541",2,31
114.031631,22.637065,2014-06-09 13:44:00,293166527,"68·","114.031631,22.637065",2,31
114.029533,22.528232,2014-06-09 14:49:00,327239926,"68·","114.029533,22.528232",4,10
114.043899,22.520111,2014-06-09 10:30:00,328380558,"68·","114.043899,22.520111",8,12
114.007965,22.529766,2014-06-09 10:31:00,680493510,"68·","114.007965,22.529766",0,37
114.075195,22.542816,2014-06-09 12:26:00,20323305,"68·","114.075195,22.542816",9,17
114.04203,22.521165,2014-06-09 15:28:00,280351258,"68·","114.04203,22.521165",8,12
113.940498,22.54405,2014-06-09 09:37:00,296270559,"68·","113.940498,22.54405",6,3
113.940513,22.541049,2014-06-09 09:38:00,287113096,"68·","113.940513,22.541049",6,3
114.063262,22.536817,2014-06-09 10:18:00,280732820,"68·","114.063262,22.536817",21,15
114.033386,22.628133,2014-06-09 10:57:00,291698610,"68·","114.033386,22.628133",10,30
114.037719,22.641834,2014-06-09 12:56:00,23219315,"68·","114.037719,22.641834",2,31
114.023635,22.531499,2014-06-09 15:36:00,290485215,"68·","114.023635,22.531499",26,9
114.065086,22.5379,2014-06-09 15:57:00,322605999,"68·","114.065086,22.5379",21,15
114.062797,22.537082,2014-06-09 09:50:00,325912477,"68·","114.062797,22.537082",21,15
113.940574,22.541564,2014-06-09 14:27:00,322980338,"68·","113.940574,22.541564",6,3
114.043617,22.520082,2014-06-09 14:53:00,660200613,"68·","114.043617,22.520082",8,12
114.055114,22.518566,2014-06-09 14:55:00,285084581,"68·","114.055114,22.518566",27,13
114.035858,22.620006,2014-06-09 17:46:00,328298524,"68·","114.035858,22.620006",10,30
114.032028,22.637767,2014-06-09 10:40:00,325938512,"68·","114.032028,22.637767",2,31
114.039817,22.641059,2014-06-09 12:38:00,328641267,"68·","114.039817,22.641059",2,31
114.036819,22.523965,2014-06-09 15:20:00,291471246,"68·","114.036819,22.523965",5,11
114.057785,22.637382,2014-06-09 09:30:00,361320106,"68·","114.057785,22.637382",12,33
114.039581,22.641067,2014-06-09 09:37:00,291145344,"68·","114.039581,22.641067",2,31
114.034896,22.642583,2014-06-09 09:39:00,291232859,"68·","114.034896,22.642583",2,31
114.029884,22.528049,2014-06-09 10:53:00,328884296,"68·","114.029884,22.528049",4,10
113.947967,22.530117,2014-06-09 12:30:00,321069557,"68·","113.947967,22.530117",3,5
113.99105,22.525115,2014-06-09 12:35:00,280176962,"68·","113.99105,22.525115",7,6
114.06314,22.52876,2014-06-09 12:52:00,290455306,"68·","114.06314,22.52876",25,14
113.940635,22.544799,2014-06-09 17:21:00,292593959,"68·","113.940635,22.544799",6,3
113.945068,22.533016,2014-06-09 17:26:00,326799767,"68·","113.945068,22.533016",29,4
114.040534,22.610416,2014-06-09 13:01:00,322728475,"68·","114.040534,22.610416",19,28
114.074684,22.543266,2014-06-09 15:48:00,292404060,"68·","114.074684,22.543266",9,17
114.073417,22.5429,2014-06-09 17:43:00,292388165,"68·","114.073417,22.5429",9,17
114.04528,22.596712,2014-06-09 16:00:00,20697011,"68·","114.04528,22.596712",33,24
114.061546,22.652183,2014-06-09 10:43:00,327404723,"68·","114.061546,22.652183",13,36
114.063079,22.537,2014-06-09 13:24:00,20680911,"68·","114.063079,22.537",21,15
114.0456,22.598733,2014-06-09 13:46:00,20568212,"68·","114.0456,22.598733",24,25
114.032218,22.63945,2014-06-09 10:14:00,296370235,"68·","114.032218,22.63945",2,31
114.036231,22.619499,2014-06-09 10:25:00,322327976,"68·","114.036231,22.619499",10,30
114.036834,22.618049,2014-06-09 10:25:00,327118311,"68·","114.036834,22.618049",10,30
114.044883,22.597017,2014-06-09 16:07:00,322513525,"68·","114.044883,22.597017",33,24
113.940818,22.5575,2014-06-09 17:28:00,295577780,"68·","113.940818,22.5575",17,2
113.991577,22.525468,2014-06-09 17:50:00,324601107,"68·","113.991577,22.525468",7,6
114.042434,22.639383,2014-06-09 16:00:00,292205041,"68·","114.042434,22.639383",2,31
114.039451,22.641117,2014-06-09 09:10:00,329579135,"68·","114.039451,22.641117",2,31
114.032218,22.6399,2014-06-09 09:12:00,21059649,"68·","114.032218,22.6399",2,31
113.94046,22.548252,2014-06-09 12:31:00,291663427,"68·","113.94046,22.548252",6,3
114.061248,22.648332,2014-06-09 14:04:00,23412784,"68·","114.061248,22.648332",13,36
114.068969,22.658117,2014-06-09 15:30:00,360687324,"68·","114.068969,22.658117",0,37
113.940635,22.560266,2014-06-09 17:43:00,700255556,"68·","113.940635,22.560266",17,2
113.940567,22.5442,2014-06-09 17:54:00,290624269,"68·","113.940567,22.5442",6,3
114.062782,22.536933,2014-06-09 12:20:00,23441735,"68·","114.062782,22.536933",21,15
114.07225,22.6546,2014-06-09 14:30:00,292567746,"68·","114.07225,22.6546",28,39
114.058364,22.63775,2014-06-09 14:42:00,293699623,"68·","114.058364,22.63775",12,33
114.03598,22.619583,2014-06-09 15:05:00,327118672,"68·","114.03598,22.619583",10,30
114.062347,22.522233,2014-06-09 17:05:00,329864519,"68·","114.062347,22.522233",25,14
114.063163,22.528717,2014-06-09 17:07:00,325803487,"68·","114.063163,22.528717",25,14
114.036064,22.619382,2014-06-09 09:10:00,327255146,"68·","114.036064,22.619382",10,30
114.042533,22.6394,2014-06-09 13:05:00,700171301,"68·","114.042533,22.6394",2,31
114.063133,22.537384,2014-06-09 15:48:00,326915537,"68·","114.063133,22.537384",21,15
114.029769,22.528116,2014-06-09 09:10:00,327482425,"68·","114.029769,22.528116",4,10
114.036499,22.618865,2014-06-09 11:45:00,323461880,"68·","114.036499,22.618865",10,30
114.057952,22.637582,2014-06-09 13:43:00,322768183,"68·","114.057952,22.637582",12,33
114.039451,22.641149,2014-06-09 13:51:00,294348042,"68·","114.039451,22.641149",2,31
114.035697,22.642467,2014-06-09 13:53:00,328843874,"68·","114.035697,22.642467",2,31
114.074279,22.543117,2014-06-09 14:38:00,321828661,"68·","114.074279,22.543117",9,17
113.945114,22.533666,2014-06-09 15:12:00,330161206,"68·","113.945114,22.533666",29,4
114.033866,22.626916,2014-06-09 17:19:00,292032900,"68·","114.033866,22.626916",10,30
114.037513,22.616333,2014-06-09 12:52:00,294302977,"68·","114.037513,22.616333",10,30
114.02983,22.528133,2014-06-09 13:40:00,329559556,"68·","114.02983,22.528133",4,10
114.059417,22.52005,2014-06-09 15:01:00,293919802,"68·","114.059417,22.52005",25,14
114.073547,22.542865,2014-06-09 15:12:00,80261703,"68·","114.073547,22.542865",9,17
114.029983,22.52745,2014-06-09 09:46:00,293827874,"68·","114.029983,22.52745",4,10
113.947433,22.530349,2014-06-09 10:23:00,330277681,"68·","113.947433,22.530349",3,5
114.045433,22.596532,2014-06-09 14:02:00,296106347,"68·","114.045433,22.596532",33,24
114.043029,22.52045,2014-06-09 16:04:00,291297625,"68·","114.043029,22.52045",8,12
113.940536,22.54075,2014-06-09 09:15:00,326872575,"68·","113.940536,22.54075",6,3
113.947914,22.530082,2014-06-09 09:22:00,291127673,"68·","113.947914,22.530082",3,5
114.039352,22.522516,2014-06-09 09:38:00,20959852,"68·","114.039352,22.522516",5,11
114.051666,22.518016,2014-06-09 09:44:00,291634696,"68·","114.051666,22.518016",8,12
114.071632,22.543167,2014-06-09 13:08:00,296048647,"68·","114.071632,22.543167",9,17
114.029716,22.528165,2014-06-09 09:54:00,292475705,"68·","114.029716,22.528165",4,10
114.035202,22.621833,2014-06-09 11:59:00,251181844,"68·","114.035202,22.621833",10,30
114.061279,22.649175,2014-06-09 12:26:00,251217148,"68·","114.061279,22.649175",13,36
114.06118,22.643333,2014-06-09 14:00:00,296149813,"68·","114.06118,22.643333",39,35
114.049514,22.6378,2014-06-09 14:09:00,322451622,"68·","114.049514,22.6378",35,32
114.038085,22.641666,2014-06-09 14:12:00,326655609,"68·","114.038085,22.641666",2,31
114.040496,22.610349,2014-06-09 14:27:00,325794166,"68·","114.040496,22.610349",19,28
